Name;Description;GTEX-1117F-2826-SM-5GZXL;GTEX-111YS-1926-SM-5GICC;GTEX-1122O-1226-SM-5H113;GTEX-117XS-1926-SM-5GICO;GTEX-117YX-1426-SM-5H12H;GTEX-1192X-2326-SM-5987X;GTEX-11DXW-0626-SM-5N9ER;GTEX-11DXY-2326-SM-5GICW;GTEX-11DXZ-1926-SM-5GZZL;GTEX-11DZ1-0326-SM-5N9BN;GTEX-11EI6-0626-SM-5985T;GTEX-11EM3-1326-SM-5N9C6;GTEX-11EMC-2026-SM-5A5JV;GTEX-11EQ9-1826-SM-5Q5AJ;GTEX-11GS4-2126-SM-5A5KR;GTEX-11GSO-1926-SM-5A5K3;GTEX-11GSP-0926-SM-9WYSG;GTEX-11I78-2226-SM-5PNYA;GTEX-11LCK-2426-SM-5HL5F;GTEX-11NSD-0926-SM-5N9DR;GTEX-11NV4-2026-SM-5N9DG;GTEX-11O72-2126-SM-5N9FO;GTEX-11OF3-1926-SM-59889;GTEX-11ONC-2126-SM-5HL6E;GTEX-11P7K-0726-SM-5EGKX;GTEX-11P81-1926-SM-5BC53;GTEX-11P82-1326-SM-5HL62;GTEX-11PRG-0826-SM-5EQ6A;GTEX-11TT1-2126-SM-5GU5Y;GTEX-11TUW-1826-SM-5BC5D;GTEX-11WQC-1726-SM-5GU4W;GTEX-11WQK-2426-SM-5GU5C;GTEX-11ZTS-2926-SM-GHWOW;GTEX-11ZTT-2326-SM-5EQLG;GTEX-11ZUS-0826-SM-5FQUY;GTEX-1211K-1926-SM-5EQLB;GTEX-1269C-2426-SM-5FQSN;GTEX-12BJ1-1826-SM-5HL9N;GTEX-12C56-0726-SM-HAV3J;GTEX-12KS4-0126-SM-5Q5A5;GTEX-12WSA-0926-SM-GHWO8;GTEX-12WSK-2226-SM-5GCO5;GTEX-12WSM-1726-SM-5BC6J;GTEX-12WSN-1326-SM-5GCNT;GTEX-12ZZX-1126-SM-5EGKB;GTEX-13113-5013-SM-7SB7G;GTEX-1313W-0826-SM-5EQ4T;GTEX-1314G-1226-SM-5BC6D;GTEX-131XW-0726-SM-5EGK3;GTEX-131YS-0626-SM-5EGKL;GTEX-132AR-0826-SM-5EGK6;GTEX-132NY-0826-SM-5K7Y7;GTEX-132Q8-1426-SM-5EGK7;GTEX-133LE-1726-SM-5K7VQ;GTEX-1399U-1826-SM-5PNZ1;GTEX-139T6-1626-SM-5PNYZ;GTEX-139T8-0826-SM-G8OLO;GTEX-139TU-0626-SM-5KM3X;GTEX-13CF2-2026-SM-5K7VI;GTEX-13CF3-2126-SM-5IFJP;GTEX-13D11-1026-SM-5IJFB;GTEX-13FHO-0826-SM-5L3E8;GTEX-13FLV-2526-SM-G8W75;GTEX-13FTW-1426-SM-5LZWZ;GTEX-13FTX-1126-SM-5N9EN;GTEX-13FTY-2226-SM-5J1ND;GTEX-13JVG-2326-SM-HPAGF;GTEX-13N11-1726-SM-5J1OJ
ENSG00000290825.2;DDX11L16;0;0;0;3;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;0;1;1;0;1;1;1;0;2;0;2;0;2;0;0;0;0;0;0;0;1;0;1;0;1;0;0;3;0;0;0;1;1;0;0;0;0;0;0;4;0;0;0;0;3;2;0;0;2
ENSG00000223972.6;DDX11L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000310526.1;WASH7P;452;214;255;550;174;409;368;153;361;185;209;469;657;164;245;200;306;348;141;113;387;320;213;133;541;130;220;438;131;236;273;213;275;200;263;164;339;187;356;123;392;172;182;125;299;152;173;198;442;549;296;219;309;432;415;155;681;177;470;162;263;218;691;226;280;308;137;445
ENSG00000243485.6;MIR1302-2HG;1;0;1;0;0;0;0;2;1;0;0;2;0;1;0;1;0;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;2;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;4;0;1;0
ENSG00000237613.3;FAM138A;0;1;0;2;1;0;1;0;0;1;0;0;2;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;2;1;2;0;3;1;0;0;0;0;0;0;0;0;1;3;1;1;4;0;0;1;0;0
ENSG00000308361.1;ENSG00000308361;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
ENSG00000290826.2;ENSG00000290826;1;0;0;3;0;0;1;0;1;0;0;0;2;2;0;1;0;0;0;0;1;1;3;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
ENSG00000268020.3;OR4G4P;1;3;0;6;0;0;0;2;4;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;2;2;0;0;0;2;0;1;1;2;0;1;0;0;1;0;0;1;1;1;2;0;1;2;1;1;0;0;0;1;0;1;1;2;0;2;0;0;0;3;1;0;0
ENSG00000186092.7;OR4F5;1;4;3;8;3;5;6;3;9;0;7;4;2;5;3;4;2;2;3;4;1;10;5;9;5;2;1;1;2;1;1;2;1;3;9;1;4;4;2;6;0;6;5;7;1;1;2;4;16;1;4;1;7;4;3;4;1;1;6;2;2;3;0;6;5;2;1;4
ENSG00000241860.8;ENSG00000241860;21;42;13;53;26;24;21;45;73;18;32;30;60;31;34;38;49;38;23;23;28;49;23;34;51;76;32;20;33;17;37;20;25;14;18;37;25;22;35;60;3;14;16;14;45;52;32;32;131;28;36;29;30;26;23;61;28;37;21;11;37;19;23;39;46;21;17;49
ENSG00000308314.1;ENSG00000308314;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
ENSG00000233750.3;CICP27;0;14;0;8;0;10;0;0;2;1;2;22;2;0;0;9;3;1;7;4;4;2;3;4;11;16;2;0;4;2;6;2;0;0;2;0;6;8;4;0;3;0;1;6;7;0;3;3;10;9;2;1;1;3;6;3;4;2;3;2;7;3;2;5;2;0;0;0
ENSG00000308579.1;ENSG00000308579;18;105;69;69;57;68;57;7;9;84;36;258;97;33;29;129;75;96;46;70;36;65;21;82;62;103;16;13;55;62;44;16;23;17;59;34;221;30;33;12;11;4;26;50;83;14;73;17;201;193;49;28;42;99;64;36;780;77;98;26;142;62;40;26;13;56;22;26
ENSG00000268903.1;ENSG00000268903;2;11;3;2;5;10;0;0;2;4;2;19;2;0;2;13;5;14;7;8;2;8;1;4;4;7;0;3;1;3;2;1;4;0;4;2;8;4;2;0;3;2;2;1;7;1;4;2;13;21;8;3;3;5;9;0;94;12;11;2;23;2;3;6;1;5;1;2
